Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Watts,Calories,Average Temperature
328918603,"Jun 20, 2015, 12:40:36 AM",Welcome,Ride,"Welcome to my bike blog. If you're reading this on Strava, check out bikecanada.shawno.ca to follow along as I ride across Canada this summer!

Stay tuned!",1,0,,77,44,1,1,0,,,,,,,0,,,
329513713,"Jun 20, 2015, 5:49:32 PM",Day 0: Leaving Vancouver,Ride,"After an emotional and bittersweet farewell, Simon and I, accompanied by my good friend Joel, headed south out of Vancouver to catch the ferry to the island.

Today's ride doesn't feel like a particularly big deal yet; I go for Saturday morning bike rides with Joel all the time, so the magnitude of the adventure isn't obvious to me yet. At this point in still too preoccupied with checking things off lists to take it all in.

My power meter is giving me trouble already. I'll take a look at it when we get to the campsite. Not a great start for a brand new and pricey piece of equipment.

Saying goodbye is hard.
",10011,52.43,activities/373083664.fit.gz,77,44,10011,9390,52437.10156,11.39999962,207,255.8000031,-48,50.20000076,46.20000076,-0.093063883,48.93147659,512.305481,23
329575782,"Jun 20, 2015, 10:37:27 PM",Day 0 - Part 2: Ferry to the Campsite,Ride,"That's about it for the first day. Simon and I arrived smoothly, and set up shop before 4:00 pm.

Rich will be meeting us here in a couple of hours, and Paul is en route from St. John's. We'll ride to the airport to meet him later this evening, blinky light style.

The trip is starting to feel real now. I got my first fly bite on my foot as I wrote this.

Seems like reseating the battery in my power meter did the trick... Hopefully that doesn't happen again.",809,3.44,activities/373155275.fit.gz,77,44,809,767,3447.5,8.899999619,43,,19,43.79999924,27.89999962,0.597534001,120.026001,102.6468353,20
329714271,"Jun 21, 2015, 6:14:06 AM",To YYJ,Ride,,1352,7.22,activities/373340993.fit.gz,77,44,1352,1225,7219.299805,8.800000191,55,,2.799999952,28.20000076,35.79999924,-0.069258802,121.2969971,165.6765442,10
329714295,"Jun 21, 2015, 7:20:11 AM",Night rip to rescue Paul from the airport ,Ride,The group is all in the same city. Tomorrow we set out.,1326,7.48,activities/373341035.fit.gz,77,44,1326,1304,7480.600098,8.800000191,43,,-14.80000019,10.80000019,26.20000076,0.1417,100.0159988,145.4192657,11
330361598,"Jun 21, 2015, 3:43:20 PM",Victoria,Ride,"We managed to get our campsite packed up and breakfast finished to hit the road by about 8:45 this morning. We rode south into Victoria along the Lochside trail, which was as beautiful as always. The morning ride was pretty relaxing after a mediocre sleep, and the temps were comfortable, getting us to downtown Victoria by about 10:30.

The time spent in Victoria was highly inefficient, with about two hours between MEC and a grocery run. I was frustrated, and very impatient in lineups, something I need to chill out about for this summer. There's a fine balance between being efficient and enjoying the pace of the day. It's a good reminder to be mindful of the bigger picture of why I'm standing in a line in Victoria regardless.

We pushed pretty hard from Victoria to the ferry to catch a 4pm sailing (with an inaugural McDonalds pit stop). It's really hard to hammer on a 90 lb bike, but we got a good 30km/h pace line going for the last 5k or so.

One more push for the evening. Check back in a couple of hours.",25631,72.11,activities/374132614.fit.gz,77,44,25631,12491,72111.20313,12.19999981,253,,-21.20000076,37,42.90000153,-0.019414499,92.38200378,1286.647095,22
330410524,"Jun 22, 2015, 12:39:37 AM",Mechanical issue #1,Ride,"No injuries. Not even a scratch. But a mangled rear dérailleur. 

After swimming in the pacific this morning, I had used my towel to dry off. I had then attached it to one of my panniers to dry as we rode. All was well, and when we got on the ferry it was dry so I folded it up and left it on my rack while we went up top.

Completely forgot about it until it fell into my chain and chewed my RD to shreds. I had no trouble stopping safely, and pulled aside to inspect the damage. Unrideable. Day 1. Ouch.

So now I'm sitting on the side of the highway in Delta, waiting for Emily to come save the boy that she was already worried sick about. She's here. She's incredible. ",2629,13.91,activities/374190817.fit.gz,77,44,2629,1963,13915.5,11.39999962,13,,-3.200000048,9,20,-0.00862348,107.8519974,236.0605316,23
330956315,"Jun 22, 2015, 8:23:13 PM",Blueberry boogie,Ride,"I had no idea riding the farmlands south of Vancouver could be so much fun.

My rear end damage turned out to ruin a whole 10 spokes. Having hand built the wheelset I was initially planning on replacing the spokes and continuing on, but for the sake of time it was easier to replace the entire wheel with a new (though inferior) one, and get back on the road. All told the sneaky little towel cost me about $300, and the group about 5 hours of delay. Thanks for your patience boys.

We had a tailwind and amped spirits leaving Langley, so we made good time to Chilliwack. After a late lunch break we pressed on further...",12186,72.33,activities/374808683.fit.gz,77,44,12186,10886,72335.39844,15.5,313,,11,130.6000061,16.20000076,0.00940065,118.8330002,1442.381836,23
331039092,"Jun 23, 2015, 12:45:13 AM",Hope,Ride,"I'm updating this from my tent in a campground just outside of Hope. This was our initial target for today, but didn't think we'd make it due to the repair delay.

After Chilliwack we checked the map and saw a few places that looked like campgrounds between there and Hope, so decided we'd try the first - Laidlaw - and see if it was campable. It was not. 

The sun may set at 9:30, but when you're surrounded by 800m mountains, it sure feels like it's getting dark a lot sooner. After some tense, but respectful discussion and deliberation, we decided to press on the additional 15km or so for Hope, where we knew there was plenty of camping, and we could be there before 9:00. So that's what we did, and here we are.

We learned another good lesson today: have a destination in mind when leaving a potentially camp-able location after 5:00pm.

As one of the meeting rooms at MEC head office says on the glass, and I quite like: ""Challenges come with setbacks. It's good to be resilient""

Tomorrow the real climbing begins. I didn't feel particularly hungry but chainsawed through a foot long sub and it didn't feel like any of it reached my stomach. Time to sleep.",11624,52.17,activities/374900523.fit.gz,77,44,11624,8084,52175.5,14.30000019,224,,-28.20000076,62.20000076,21.10000038,-0.072447799,114.1549988,1028.954346,19
332257016,"Jun 23, 2015, 3:59:22 PM",Time to Climb,Ride,"Ow.

About 1.6km of elevation gain. A complete sweat fest. I drank about 5 litres of water. 

We camped in Manning Park, and soaked the legs in Lightning Lake before heading to sleep before 10:00 pm.",27724,73.5,activities/376270272.fit.gz,77,44,27724,16730,73505.70313,14.19999981,1603,,-26.39999962,1264.599976,26.10000038,1.519880056,151.0590057,2817.846924,25
